"Player","Team","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","STLp","BLKp","TOp","HomeAway","ASD"
"Amar'e Stoudemire","Knicks",0.192897497982244,0.401869158878505,0,1,0,0.857142857142857,0.88,0.5,0.727272727272727,0.428571428571429,0.684210526315789,0,0.714285714285714,0,0.2,0.608695652173913,0.675675675675676,0.243927125506073,0.0293522267206478,0.0172064777327935,0.0242914979757085,0.0637651821862348,1,1.647
"Amir Johnson","76ers",0.141891891891892,0.333333333333333,0.3,0.333333333333333,0.8,0.476190476190476,0.888888888888889,0,0.6,0.583333333333333,0.75,0,0.888888888888889,0,0,0.666666666666667,0.566666666666667,0.311733800350263,0.115586690017513,0.0350262697022767,0.0507880910683012,0.0472854640980736,1,1.295
"Amir Johnson","Celtics",0.161149281698938,0.333333333333333,0.319148936170213,0.933333333333333,1,0.56140350877193,0.916666666666667,0,0.361702127659574,0.413793103448276,0.752136752136752,0,0.857142857142857,0,0,0.6,0.596774193548387,0.262872628726287,0.0834688346883469,0.0336043360433604,0.0466124661246612,0.0509485094850948,1,1.295
"Amir Johnson","Raptors",0.196814562002275,0.528301886792453,0.461538461538462,0.75,0,0.636363636363636,0.96551724137931,0.5,0.5,0.568075117370892,0.883720930232558,0,0.839285714285714,0,0.428571428571429,0.5,0.598639455782313,0.232024702249669,0.0560211733568593,0.0216144684605205,0.0348478164975739,0.0533745037494486,1,1.295
"Anderson Varejao","Cavaliers",0.130132219902575,0.5,0,0,0,0.777777777777778,0.714285714285714,0.666666666666667,0.517241379310345,0.506912442396313,0.777777777777778,0,0.666666666666667,0,0.358974358974359,0.714285714285714,0.653061224489796,0.339838492597577,0.0679676985195155,0.0323014804845222,0.0262449528936743,0.0437415881561238,1,1.901
"Andray Blatche","Nets",0.188505747126437,0.295238095238095,0.176470588235294,1,0,0.806451612903226,1,0.545454545454545,0.75,0.323170731707317,0.775280898876405,0.5,0.5,0.444444444444444,0.352941176470588,0.625,0.75968992248062,0.230263157894737,0.0712719298245614,0.0416666666666667,0.025219298245614,0.0701754385964912,1,2.668
"Andre Drummond","Pistons",0.171107463063518,0.272727272727273,0.0666666666666667,0.804635761589404,1,0.645,0.905940594059406,0,0.433712121212121,0.336585365853659,0.63609022556391,1,0.5,0,0.507246376811594,0.541666666666667,0.424787133396405,0.45,0.0357585139318885,0.0430340557275542,0.0524767801857585,0.054953560371517,1,0.623
"Andre Iguodala","Warriors",0.127107215104518,0.41501976284585,0.346072186836518,0.76,1,0.869565217391304,0.979591836734694,0.5,0.285714285714286,0.2125,0.611111111111111,0.516320474777448,0.848101265822785,0.5625,0,0.388888888888889,0.586776859504132,0.133691581175704,0.133854421104055,0.0400586223742062,0.0148184334798893,0.0418498615860609,1,4.573
"Andre Roberson","Thunder",0.154267457781835,0.305555555555556,0.271794871794872,0.785714285714286,1,0.627906976744186,0.945945945945946,0,1,0.306273062730627,0.676056338028169,0.25,0.823529411764706,0,0.3,0,0.415730337078652,0.176808566205276,0.0381300600679028,0.0438756855575868,0.0326455993732045,0.0266388090885349,1,2.359
"Andrea Bargnani","Knicks",0.160058737151248,0.402684563758389,0.315068493150685,0,0,0.8,1,0.428571428571429,0.75,0.401433691756272,0.533333333333333,1,1,0.5,0.4,0,0.80952380952381,0.171936758893281,0.033596837944664,0.00889328063241107,0.0424901185770751,0.0553359683794466,1,5.301
"Andrei Kirilenko","Nets",0.144444444444444,0.0833333333333333,0,0.333333333333333,0,0.666666666666667,1,0,0,0.272727272727273,0.75,0,0,0,0.285714285714286,1,0.484375,0.175141242937853,0.0922787193973635,0.0414312617702448,0.0207156308851224,0.0546139359698682,1,0.855
"Andrew Bogut","Warriors",0.141484044598231,0.347826086956522,0.333333333333333,0.872549019607843,1,0.77027027027027,0.878787878787879,0,0.565217391304348,0.490384615384615,0.578947368421053,0,0.833333333333333,0.5,0.525641025641026,0.48,0.558823529411765,0.367036011080332,0.0900277008310249,0.0280470914127424,0.0744459833795014,0.0564404432132964,1,0.476
"Andrew Harrison","Grizzlies",0.107913669064748,0.370786516853933,0.290322580645161,0,0,0.652631578947368,0,0.2,0,0.324742268041237,0.434782608695652,0.416666666666667,0.666666666666667,0.25,0,1,0.831395348837209,0.0911528150134048,0.138069705093834,0.0294906166219839,0.0207774798927614,0.0596514745308311,1,4.748
"Andrew Nicholson","Magic",0.143360752056404,0.407079646017699,0.326923076923077,0,0,0.666666666666667,1,0,0.428571428571429,0.380566801619433,0.769230769230769,1,0.8,0.5,0.6,0.19047619047619,0.736842105263158,0.204545454545455,0.0303030303030303,0.0117845117845118,0.021043771043771,0.0437710437710438,1,4.805
"Andrew Wiggins","Timberwolves",0.211038107752957,0.364293085655315,0.321120689655172,0.869565217391304,0.944444444444444,0.75668449197861,0.967213114754098,0.357142857142857,0.8,0.353711790393013,0.68609865470852,0.430656934306569,0.670103092783505,0.397260273972603,0.75,0.493670886075949,0.727854855923159,0.114295234921693,0.0601466177940686,0.0271576141286238,0.016327890703099,0.054481839386871,1,5.851
"Anthony Davis","Pelicans",0.189720442632499,0.418906394810009,0.320197044334975,0.82741116751269,1,0.745535714285714,0.919491525423729,0.674418604651163,0.462686567164179,0.384663341645885,0.630738522954092,0.571428571428571,0.831325301204819,0.54,0.585365853658537,0.716666666666667,0.801250868658791,0.30617246132639,0.0617246132638995,0.0385970286414459,0.0796446622759994,0.0555981007811303,1,3.284
"Anthony Morrow","Pelicans",0.126943005181347,0.434782608695652,0.488636363636364,0,0,1,0,0,0,0.426778242677824,0.681818181818182,0.857142857142857,0.5,0,0.5,0,0.8125,0.101214574898785,0.0526315789473684,0.0256410256410256,0.00944669365721997,0.0323886639676113,1,8.247
"Anthony Morrow","Thunder",0.111278195488722,0.467213114754098,0.408026755852843,0,0,0.5,0,0.5,0.333333333333333,0.4375,0.75,0.4,0.461538461538462,1,0.5,1,0.860215053763441,0.0821917808219178,0.0306849315068493,0.0306849315068493,0.00602739726027397,0.0191780821917808,1,8.247
"Anthony Tolliver","Kings",0.0962441314553991,0.285714285714286,0.425,0,1,1,1,0.5,0.333333333333333,0.415584415584416,0.666666666666667,1,1,0,0,0,0.811320754716981,0.15884476534296,0.0529482551143201,0.02647412755716,0.00842358604091456,0.0397111913357401,1,6.944
"Anthony Tolliver","Pistons",0.0706476030277544,0.538461538461538,0.435374149659864,0,1,0.76,0.909090909090909,0,0.25,0.441295546558704,0.653061224489796,0.666666666666667,0.75,0,0.5,1,0.787878787878788,0.163568773234201,0.0455390334572491,0.0157992565055762,0.0130111524163569,0.0302044609665428,1,6.944
"Archie Goodwin","Suns",0.179824561403509,0.355555555555556,0.25,0.5,0,0.630434782608696,0.923076923076923,0,0,0.329113924050633,0.6,0.454545454545455,0.84,0.25,0,0,0.75,0.136404697380307,0.0894308943089431,0.023486901535682,0.016260162601626,0.0858175248419151,1,2.933
"Aron Baynes","Celtics",0.142533936651584,0.472222222222222,0.4,0.666666666666667,0.909090909090909,0.475,0.857142857142857,0,0.304347826086957,0.442307692307692,0.67741935483871,0.333333333333333,0.842105263157895,0,1,0.64,0.765957446808511,0.294725956566701,0.0661840744570838,0.0144777662874871,0.0392967942088935,0.0403309203722854,1,1.462
"Aron Baynes","Pistons",0.157443491816056,0.402985074626866,0,0.6,0,0.476190476190476,0.977777777777778,1,0.558441558441558,0.444444444444444,0.725274725274725,0,0,0,0,0,0.805970149253731,0.314741035856574,0.0350597609561753,0.0143426294820717,0.0326693227091633,0.0470119521912351,1,1.462
"Aron Baynes","Spurs",0.157560355781449,0.41025641025641,0,0.5,0,1,0.884615384615385,0,0.5,0.431578947368421,0.8125,0,1,0,0.529411764705882,0.333333333333333,0.862745098039216,0.295774647887324,0.0320102432778489,0.0089628681177977,0.0166453265044814,0.0691421254801537,1,1.462
"Arron Afflalo","Kings",0.0925925925925926,0.535211267605634,0.449275362318841,0,0,0.2,0,0.615384615384615,0,0.422413793103448,0.833333333333333,0.789473684210526,1,0.666666666666667,0,0.555555555555556,0.92,0.0777777777777778,0.0444444444444444,0.00972222222222222,0.00555555555555556,0.0291666666666667,1,6.316
"Arron Afflalo","Knicks",0.205930807248764,0.465346534653465,0.26984126984127,0,0,0.842105263157895,0,0.535714285714286,0,0.400793650793651,0.678571428571429,0.555555555555556,0.75,0.5,0,1,0.859154929577465,0.124463519313305,0.0600858369098712,0.0103004291845494,0.00257510729613734,0.0274678111587983,1,6.316
"Arron Afflalo","Magic",0.138321995464853,0.447257383966245,0.413793103448276,0,0,0.66,1,0.526315789473684,0,0.446991404011461,0.714285714285714,0.529411764705882,0.777777777777778,0.352941176470588,0,0.6,0.811594202898551,0.104699583581202,0.0898274836406901,0.0130874479476502,0.00416418798334325,0.0481856038072576,1,6.316
"Arron Afflalo","Nuggets",0.13719512195122,0.552447552447552,0.316176470588235,0,0,0.68,0,0.631578947368421,1,0.425087108013937,0.709677419354839,1,0.285714285714286,0.5,0,0.5,0.835051546391753,0.112659698025552,0.0580720092915215,0.0197444831591173,0.00116144018583043,0.0476190476190476,1,6.316
"Austin Rivers","Clippers",0.179925994449584,0.358974358974359,0.343825665859564,0.75,0.75,0.692832764505119,1,1,0.5,0.346938775510204,0.495934959349593,0.612903225806452,0.709677419354839,0.431034482758621,0,1,0.659574468085106,0.079295154185022,0.0953429830081812,0.0308370044052863,0.00723725613593455,0.0509754562617999,1,4.845
"Austin Rivers","Pelicans",0.208080808080808,0.238095238095238,0.45,0,0,0.894736842105263,1,0,0,0.39344262295082,0.644067796610169,1,0,1,0,1,0.684931506849315,0.0934150076569678,0.136294027565084,0.0321592649310873,0.0107197549770291,0.0505359877488515,1,4.845
"Avery Bradley","Celtics",0.191744340878828,0.417565485362096,0.378333333333333,0.777777777777778,0.933333333333333,0.725352112676056,0.909090909090909,0.421052631578947,0,0.386363636363636,0.705128205128205,0.528735632183908,0.851063829787234,0.48,0.4,0.5,0.778325123152709,0.120937104263402,0.0542422963275644,0.0331363444491347,0.00654284508231321,0.044744617982271,1,7.89
"Bam Adebayo","Heat",0.13953488372093,0.0666666666666667,0,0.741935483870968,1,0.384615384615385,0.941176470588235,0,0.2,0.25,0.588235294117647,0,0.8,0,1,0.111111111111111,0.693069306930693,0.274678111587983,0.061516452074392,0.0214592274678112,0.0286123032904149,0.0414878397711016,1,0.7
"Ben McLemore","Kings",0.141653501843075,0.4,0.355289421157685,0.944444444444444,1,0.819047619047619,0.709677419354839,0.555555555555556,0.25,0.349339735894358,0.635416666666667,0.821428571428571,0.575,0.857142857142857,0.5,1,0.787878787878788,0.0986394557823129,0.0478806907378336,0.0261643118785976,0.00575614861329147,0.0552066980638409,1,6.628
"Ben Simmons","76ers",0.192994505494506,0.3375,0,0.714285714285714,0.8,0.618357487922705,0.818181818181818,0.294117647058824,0.7,0.183673469387755,0.7,0.4375,0.793650793650794,0.625,0,0.415384615384615,0.587939698492462,0.263088137839629,0.243207422133863,0.0569913850231942,0.0265076209410205,0.10337972166998,1,1.389
"Beno Udrih","Grizzlies",0.138461538461538,0.517073170731707,0.271604938271605,0,0,0.804347826086957,0,0.666666666666667,0.5,0.399209486166008,0.625,0.53448275862069,0.333333333333333,0.5,0,0,0.828571428571429,0.100103199174407,0.140350877192982,0.0288957688338493,0.00722394220846233,0.065015479876161,1,5.134
"Bismack Biyombo","Hornets",0.12803738317757,0.75,0,1,0,0,0.978260869565217,1,0.238095238095238,0.592592592592593,0.803030303030303,0,0,0,0.722222222222222,0,0.547619047619048,0.35423197492163,0.00783699059561128,0.0156739811912226,0.0799373040752351,0.0344827586206897,1,0.495
"Bismack Biyombo","Magic",0.131629392971246,0.324324324324324,0,0.666666666666667,1,0.263157894736842,0.926829268292683,0.625,0.39622641509434,0.264150943396226,0.804347826086957,0,0.818181818181818,0,1,0.388888888888889,0.558139534883721,0.325721153846154,0.0426682692307692,0.015625,0.0612980769230769,0.0510817307692308,1,0.495
"Bismack Biyombo","Raptors",0.10580204778157,0.421052631578947,0,0.6875,0.947368421052632,0.4375,0.96,0,0.666666666666667,0.459459459459459,0.695652173913043,0,0.857142857142857,0,1,0.470588235294118,0.584905660377358,0.362377850162866,0.0146579804560261,0.012214983713355,0.0700325732899023,0.0399022801302932,1,0.495
