"Player","P2p","P3p","FTp","FTA","P2A","P3A","BLKp","TOVp","ASTp","REBp","PTSp","STLp"
"Dirk Nowitzki",0.494061757719715,0.409495548961424,0.898148148148148,108,421,337,0.0236842105263158,0.0268421052631579,0.0631578947368421,0.230526315789474,0.487894736842105,0.0226315789473684
"Dwight Powell",0.65606936416185,0.333333333333333,0.718918918918919,185,346,84,0.0191387559808612,0.0352870813397129,0.0544258373205742,0.26555023923445,0.401315789473684,0.0400717703349282
"JJ Barea",0.49867374005305,0.36741214057508,0.784313725490196,102,377,313,0.00187149095446039,0.0892077354959451,0.270742358078603,0.125389893948846,0.499688084840923,0.0218340611353712
"Maxi Kleber",0.613259668508287,0.3125,0.745762711864407,59,181,128,0.038971807628524,0.0248756218905473,0.0422885572139304,0.194029850746269,0.320066334991708,0.021558872305141
"Devin Harris",0.465408805031447,0.352,0.830357142857143,112,159,125,0.00991325898389095,0.0607187112763321,0.105328376703841,0.105328376703841,0.462205700123916,0.0408921933085502
"Salah Mejri",0.656716417910448,0,0.575757575757576,66,134,3,0.0919067215363512,0.0534979423868313,0.0480109739368999,0.337448559670782,0.293552812071331,0.0301783264746228
"Doug McDermott",0.465346534653465,0.493670886075949,0.857142857142857,28,101,79,0.00671140939597315,0.0369127516778524,0.0486577181208054,0.110738255033557,0.394295302013423,0.0151006711409396
"Will Barton",0.50990099009901,0.369668246445498,0.805309734513274,226,606,422,0.0193812896011927,0.0555348490495714,0.123369362653746,0.152441297055535,0.47260529258293,0.03056280283265
"Jamal Murray",0.501597444089457,0.378440366972477,0.905138339920949,253,626,436,0.010916179337232,0.067056530214425,0.10682261208577,0.115789473684211,0.527095516569201,0.0307992202729045
"Nikola Jokic",0.538356164383562,0.396428571428571,0.849840255591054,313,730,280,0.0249693000409333,0.0859598853868195,0.187474416700778,0.328694228407695,0.566925910765452,0.0368399508800655
"Wilson Chandler",0.501298701298701,0.357723577235772,0.771929824561403,114,385,246,0.0166240409207161,0.0392156862745098,0.0677749360613811,0.169650468883205,0.314578005115089,0.0183290707587383
"Gary Harris",0.552529182879377,0.395939086294416,0.827160493827161,162,514,394,0.00651041666666667,0.0516493055555556,0.0842013888888889,0.0763888888888889,0.5078125,0.0529513888888889
"Mason Plumlee",0.602179836512262,0,0.458100558659218,179,367,1,0.0562890896455872,0.0715774843641418,0.098679638637943,0.277970813064628,0.364141765114663,0.034051424600417
"Trey Lyles",0.563253012048193,0.380733944954128,0.706293706293706,143,332,218,0.0244428468727534,0.0438533429187635,0.0654205607476635,0.249460819554277,0.520488856937455,0.0215672178289001
"Paul Millsap",0.506211180124224,0.345132743362832,0.695652173913043,161,322,113,0.0384951881014873,0.0638670166229221,0.0918635170603675,0.214348206474191,0.485564304461942,0.0341207349081365
"Emmanuel Mudiay",0.413636363636364,0.372549019607843,0.807692307692308,78,220,102,0.00531914893617021,0.0957446808510638,0.160904255319149,0.125,0.477393617021277,0.0279255319148936
"Torrey Craig",0.569620253164557,0.293103448275862,0.628571428571429,35,79,58,0.0238473767885533,0.0317965023847377,0.0397456279809221,0.201907790143084,0.259141494435612,0.0190779014308426
"Malik Beasley",0.46875,0.341463414634146,0.666666666666667,33,96,82,0.0120068610634648,0.0411663807890223,0.0531732418524871,0.121783876500858,0.336192109777015,0.0257289879931389
"Devin Harris",0.5,0.343137254901961,0.844827586206896,58,68,102,0.0075046904315197,0.050656660412758,0.125703564727955,0.0787992495309568,0.416510318949343,0.026266416510319
"Andre Drummond",0.535632183908046,0,0.605063291139241,395,870,11,0.0483809523809524,0.0761904761904762,0.0902857142857143,0.475047619047619,0.446095238095238,0.0434285714285714
"Ish Smith",0.505714285714286,0.346534653465347,0.698275862068966,116,700,101,0.00978952520802741,0.052863436123348,0.176211453744493,0.109642682329907,0.437591776798825,0.0313264806656877
"Stanley Johnson",0.438650306748466,0.286324786324786,0.772413793103448,145,326,234,0.00739176346356917,0.0406546990496304,0.0591341077085533,0.133051742344245,0.316261879619852,0.0501583949313622
"Anthony Tolliver",0.560747663551402,0.435616438356164,0.796992481203007,133,107,365,0.0119521912350598,0.0330108138873079,0.0512236767216847,0.1371656232214,0.400113830392715,0.0182128628343768
"Reggie Bullock",0.535849056603774,0.444839857651246,0.795918367346939,49,265,281,0.00750577367205543,0.0271362586605081,0.0548498845265589,0.0889145496535797,0.403002309468822,0.0271362586605081
"Tobias Harris",0.478060046189376,0.409420289855072,0.845588235294118,136,433,276,0.00959692898272553,0.0326295585412668,0.0601407549584133,0.156110044785669,0.555342290467051,0.0217530390275112
"Luke Kennard",0.462962962962963,0.415384615384615,0.855263157894737,76,270,195,0.00888585099111415,0.0471633629528366,0.0847573479152427,0.120300751879699,0.381408065618592,0.0300751879699248
"Avery Bradley",0.422872340425532,0.381443298969072,0.7625,80,376,194,0.0055205047318612,0.0733438485804416,0.0654574132492114,0.0741324921135647,0.47397476340694,0.0362776025236593
"Reggie Jackson",0.475490196078431,0.307692307692308,0.835820895522388,134,408,169,0.00333055786844296,0.0824313072439634,0.198168193172356,0.104079933388843,0.546211490424646,0.02248126561199
"Langston Galloway",0.418032786885246,0.344036697247706,0.804878048780488,41,122,218,0.00579374275782155,0.0208574739281576,0.06720741599073,0.106604866743917,0.417149478563152,0.0405561993047509
"Blake Griffin",0.473498233215548,0.348148148148148,0.783783783783784,111,283,135,0.0108303249097473,0.0794223826714801,0.186522262334537,0.199759326113117,0.596871239470517,0.01323706377858
"Eric Moreland",0.540983606557377,0,0.379310344827586,29,122,0,0.0633540372670807,0.0521739130434783,0.0968944099378882,0.345341614906832,0.177639751552795,0.0385093167701863
"James Ennis III",0.56989247311828,0.304347826086957,0.767441860465116,43,93,69,0.0108892921960073,0.0326678765880218,0.0399274047186933,0.121597096188748,0.366606170598911,0.0272232304900181
"Klay Thompson",0.525835866261398,0.440384615384615,0.836734693877551,98,658,520,0.0135782747603834,0.0511182108626198,0.0738817891373802,0.110623003194888,0.583466453674121,0.0219648562300319
"Kevin Durant",0.564894932014833,0.418886198547215,0.888613861386139,404,809,413,0.0511827956989247,0.0890322580645161,0.15741935483871,0.199569892473118,0.770752688172043,0.021505376344086
"Draymond Green",0.56198347107438,0.30078125,0.774566473988439,173,363,256,0.039790118058592,0.0883253170091823,0.222125054656756,0.233930913860953,0.337997376475732,0.0411018801923918
"Stephen Curry",0.59504132231405,0.42315369261477,0.920529801324503,302,363,501,0.00490496627835684,0.0938074800735745,0.190067443286327,0.160024524831392,0.825260576333538,0.0490496627835684
"Andre Iguodala",0.566502463054187,0.282051282051282,0.632183908045977,87,203,117,0.0234278668310728,0.0413070283600493,0.129469790382244,0.151664611590629,0.236744759556104,0.0332922318125771
"Nick Young",0.481481481481481,0.377300613496933,0.861538461538462,65,162,326,0.0050251256281407,0.0279971284996411,0.0258435032304379,0.0897343862167983,0.417085427135678,0.0272792534099067
"Shaun Livingston",0.50887573964497,0,0.819672131147541,61,338,5,0.0186005314437555,0.0513728963684677,0.12400354295837,0.116031886625332,0.348981399468556,0.0310008857395926
"David West",0.575675675675676,0.375,0.759493670886076,79,370,8,0.0750750750750751,0.0800800800800801,0.138138138138138,0.238238238238238,0.495495495495495,0.047047047047047
"Zaza Pachulia",0.566539923954373,0,0.806451612903226,93,263,1,0.0174897119341564,0.0740740740740741,0.112139917695473,0.330246913580247,0.383744855967078,0.0390946502057613
"Patrick McCaw",0.503448275862069,0.2375,0.764705882352941,34,145,80,0.0104058272632674,0.0426638917793965,0.0842872008324662,0.0853277835587929,0.238293444328824,0.0447450572320499
"Kevon Looney",0.590425531914894,0.2,0.545454545454545,77,188,5,0.0615384615384615,0.0340659340659341,0.0461538461538462,0.236263736263736,0.293406593406593,0.0373626373626374
"Jordan Bell",0.640883977900553,0,0.681818181818182,44,181,4,0.069221260815822,0.0630407911001236,0.126081582200247,0.255871446229913,0.323856613102596,0.0432632880098888
"Omri Casspi",0.594594594594595,0.454545454545455,0.72463768115942,69,185,22,0.0256064690026954,0.0498652291105121,0.068733153638814,0.269541778975741,0.404312668463612,0.0242587601078167
"Quinn Cook",0.513513513513513,0.442307692307692,0.88,25,148,104,0.00134952766531714,0.0431848852901484,0.120107962213225,0.110661268556005,0.421052631578947,0.0161943319838057
"JaVale McGee",0.63849765258216,0,0.730769230769231,52,213,6,0.0926829268292683,0.0439024390243902,0.0536585365853659,0.27479674796748,0.504065040650406,0.0341463414634146
"James Harden",0.530949105914718,0.367036011080332,0.858321870701513,727,727,722,0.0196001568012544,0.123480987847903,0.246961975695806,0.152489219913759,0.858878871030968,0.0493923951391611
"PJ Tucker",0.435114503816794,0.370967741935484,0.716666666666667,60,131,310,0.0113985094256905,0.0324419114423498,0.0337571240683911,0.200350723366944,0.220078912757562,0.0341955282770715
"Trevor Ariza",0.518518518518518,0.367965367965368,0.853932584269663,89,189,462,0.00572939620978405,0.0229175848391362,0.0462758924636404,0.129572498898193,0.344645218157779,0.0431908329660643
"Eric Gordon",0.544198895027624,0.358552631578947,0.809128630705394,241,362,608,0.0125348189415042,0.0603528319405757,0.0714948932219127,0.0789229340761374,0.577065923862581,0.0204271123491179
"Clint Capela",0.653333333333333,0,0.560311284046693,257,675,1,0.0673549655850541,0.0506391347099312,0.0334316617502458,0.394296951819076,0.504424778761062,0.0285152409046214
"Chris Paul",0.532219570405728,0.379947229551451,0.918552036199095,221,419,379,0.00757985923118571,0.0693015701136979,0.247428262046562,0.169463995668652,0.585273416350839,0.0519761775852734
"Ryan Anderson",0.539007092198582,0.386430678466077,0.774193548387097,93,141,339,0.0121739130434783,0.0243478260869565,0.0347826086956522,0.191884057971014,0.35768115942029,0.0139130434782609
"Luc Mbah a Moute",0.598837209302326,0.364161849710983,0.684210526315789,95,172,173,0.0159846547314578,0.0434782608695652,0.0351662404092072,0.118925831202046,0.294117647058824,0.0460358056265985
"Gerald Green",0.504347826086956,0.369127516778524,0.85,60,115,298,0.0161463939720129,0.0333692142088267,0.0269106566200215,0.143164693218515,0.534983853606028,0.0258342303552207
"Nene",0.573839662447257,0,0.635514018691589,107,237,2,0.0184696569920844,0.050131926121372,0.0593667546174142,0.232189973614776,0.448548812664908,0.0369393139841689
"Tarik Black",0.637931034482759,0.0909090909090909,0.46031746031746,63,116,11,0.0558659217877095,0.0651769087523277,0.0242085661080074,0.303538175046555,0.335195530726257,0.0391061452513966
"Joe Johnson",0.465753424657534,0.278688524590164,0.952380952380952,21,73,61,0.00198019801980198,0.0356435643564356,0.0752475247524752,0.128712871287129,0.275247524752475,0.0118811881188119
"Thaddeus Young",0.531478770131772,0.320441988950276,0.597826086956522,92,683,181,0.0138089758342923,0.0402761795166858,0.0583045646336786,0.196394322976601,0.366321442270809,0.0517836593785961
"Victor Oladipo",0.527533039647577,0.370967741935484,0.798913043478261,368,908,434,0.0223354231974922,0.0858150470219436,0.126567398119122,0.15282131661442,0.679858934169279,0.0693573667711599
"Bojan Bogdanovic",0.534334763948498,0.401554404145078,0.868292682926829,205,466,386,0.00324675324675325,0.0430194805194805,0.0482954545454545,0.109577922077922,0.463068181818182,0.0223214285714286
"Cory Joseph",0.456521739130435,0.352631578947368,0.74468085106383,94,414,190,0.0081447963800905,0.0393665158371041,0.117647058823529,0.119004524886878,0.293665158371041,0.0361990950226244
"Darren Collison",0.508083140877598,0.468292682926829,0.881944444444444,144,433,205,0.00743310208126858,0.0426164519326065,0.182358771060456,0.0882061446977205,0.423686818632309,0.045589692765114
"Lance Stephenson",0.494758909853249,0.288793103448276,0.661417322834646,127,477,232,0.00918918918918919,0.0708108108108108,0.127027027027027,0.229189189189189,0.409189189189189,0.0248648648648649
"Myles Turner",0.518672199170125,0.356687898089172,0.776699029126214,206,482,157,0.0642701525054466,0.0522875816993464,0.0473856209150327,0.227124183006536,0.450980392156863,0.0206971677559913
"Domantas Sabonis",0.524038461538462,0.351351351351351,0.75,224,624,37,0.0176795580110497,0.0756906077348066,0.0834254143646409,0.316022099447514,0.475690607734807,0.0220994475138122
"Joe Young",0.458333333333333,0.378787878787879,0.758620689655172,29,120,66,0.0017921146953405,0.046594982078853,0.0698924731182796,0.112903225806452,0.370967741935484,0.025089605734767
"Lou Williams",0.483516483516484,0.359073359073359,0.879837067209776,491,819,518,0.00733874082657397,0.0903823870220162,0.161066048667439,0.0764774044032445,0.688296639629201,0.0328312089609888
"DeAndre Jordan",0.645328719723183,0,0.580128205128205,312,578,0,0.0293025175402394,0.0565414775072225,0.0482872472141973,0.483285183656624,0.382583574081717,0.0160957490713991
"Austin Rivers",0.460674157303371,0.377777777777778,0.641509433962264,159,445,360,0.00777831793874575,0.0529897909577054,0.117647058823529,0.0704910063198833,0.44725328147788,0.0359747204666991
"Wesley Johnson",0.471204188481675,0.338983050847458,0.741379310344828,58,191,177,0.0417227456258412,0.0370121130551817,0.041049798115747,0.14535666218035,0.271197846567968,0.0511440107671602
"Montrezl Harrell",0.641404805914972,0.142857142857143,0.626126126126126,222,541,7,0.0402165506573859,0.0525908739365816,0.05723124516628,0.237432327919567,0.646558391337974,0.0278422273781903
"Sindarius Thornwell",0.447674418604651,0.377049180327869,0.670454545454545,88,172,61,0.0216262975778547,0.0458477508650519,0.0588235294117647,0.121107266435986,0.243944636678201,0.041522491349481
"Blake Griffin",0.48849104859335,0.342245989304813,0.785388127853881,219,391,187,0.00790166812993854,0.086918349429324,0.157155399473222,0.230026338893766,0.65496049165935,0.0263388937664618
"Milos Teodosic",0.4921875,0.379310344827586,0.847826086956522,46,128,232,0.00440917107583774,0.0855379188712522,0.184303350970018,0.111111111111111,0.378306878306878,0.0202821869488536
"Tobias Harris",0.501457725947522,0.414201183431953,0.8,80,343,169,0.0180995475113122,0.048868778280543,0.0886877828054299,0.174660633484163,0.559276018099548,0.0334841628959276
"Sam Dekker",0.592964824120603,0.166666666666667,0.660714285714286,56,199,60,0.0101925254813137,0.0373725934314836,0.043035107587769,0.197055492638732,0.343148357870895,0.0271800679501699
"Tyrone Wallace",0.483091787439614,0.25,0.782051282051282,78,207,40,0.0152761457109283,0.0540540540540541,0.0834312573443008,0.123384253819036,0.341950646298472,0.0317273795534665
"Jawun Evans",0.371859296482412,0.277777777777778,0.775510204081633,49,199,54,0.0077120822622108,0.0565552699228792,0.12853470437018,0.107969151670951,0.296915167095116,0.0462724935732648
"CJ Williams",0.546218487394958,0.282051282051282,0.8125,16,119,78,0.0183875530410184,0.0282885431400283,0.0608203677510608,0.0792079207920792,0.295615275813296,0.0438472418670438
